Class,Atom,Snippet,Line
org.greenrobot.greendao.query.AbstractQuery,Conditional Operator,Long converted = (parameter != null) ? parameter.getTime() : null,85
org.greenrobot.greendao.query.AbstractQuery,Conditional Operator,Integer converted = (parameter != null) ? parameter ? 1 : 0 : null,93
org.greenrobot.greendao.query.QueryBuilder,Conditional Operator,this.stringOrderCollation = ((stringOrderCollation == null) || stringOrderCollation.startsWith(" ")) ? stringOrderCollation : " " + stringOrderCollation,125
org.greenrobot.greendao.query.QueryBuilder,Logic as Control Flow,if ((orderBuilder != null) && (orderBuilder.length() > 0)) {    builder.append(" ORDER BY ").append(orderBuilder);},313
org.greenrobot.greendao.async.AsyncOperationExecutor,Pre-Increment,operation.sequenceNumber = ++lastSequenceNumber,59
org.greenrobot.greendao.identityscope.IdentityScopeLong,Logic as Control Flow,if ((get(key) == entity) && (entity != null)) {    remove(key);    return true;} else {    return false;},101
org.greenrobot.greendao.internal.SqlUtils,Logic as Control Flow,if ((tableAlias == null) || (tableAlias.length() < 0)) {    throw new DaoException("Table alias required");},108
org.greenrobot.greendao.async.AsyncOperation,Conditional Operator,creatorStacktrace = ((flags & FLAG_TRACK_CREATOR_STACKTRACE) != 0) ? new Exception("AsyncOperation was created here") : null,74
org.greenrobot.greendao.async.AsyncOperation,Logic as Control Flow,return (((other != null) && isMergeTx()) && other.isMergeTx()) && (getDatabase() == other.getDatabase()),124
org.greenrobot.greendao.query.WhereCondition$PropertyCondition,Logic as Control Flow,if ((value != null) && value.getClass().isArray()) {    throw new DaoException("Illegal value: found array but simple object required");},74
org.greenrobot.greendao.query.AbstractQueryData,Conditional Operator,Q query = (queryRef != null) ? queryRef.get() : null,63
org.greenrobot.greendao.internal.DaoConfig,Conditional Operator,pkProperty = (pkColumns.length == 1) ? lastPkProperty : null,81
org.greenrobot.greendao.AbstractDao,Conditional Operator,pkOrdinal = (config.pkProperty != null) ? config.pkProperty.ordinal : -1,93
org.greenrobot.greendao.AbstractDao,Conditional Operator,T entity = (lock) ? identityScopeLong.get2(key) : identityScopeLong.get2NoLock(key),542
org.greenrobot.greendao.AbstractDao,Conditional Operator,T entity = (lock) ? identityScope.get(key) : identityScope.getNoLock(key),561
org.greenrobot.greendao.identityscope.IdentityScopeObject,Logic as Control Flow,if ((get(key) == entity) && (entity != null)) {    remove(key);    return true;} else {    return false;},84
